lat,lon
26.90967,75.78176
26.90967,75.78176
26.90967,75.78176
26.90932,75.78105
26.90932,75.78105
26.90917,75.78077
26.90917,75.78077
26.90917,75.78077
26.90901,75.78046
26.90899,75.78041
26.90891,75.78026
26.90891,75.78026
26.90891,75.78026
26.90882,75.78008
26.90882,75.78008
26.90882,75.78008
26.90873,75.77991
26.90873,75.77991
26.90867,75.77981
26.90867,75.77981
26.9086,75.7797
26.9086,75.77969
26.9086,75.77969
26.90854,75.7796
26.90854,75.7796
26.90854,75.7796
26.90847,75.7795
26.90847,75.7795
26.9084,75.77941
26.9084,75.77941
26.9083,75.77927
26.9083,75.77927
26.9083,75.77927
26.90818,75.77914
26.90799,75.77894
26.90799,75.77894
26.90776,75.7787
26.90776,75.7787
26.90776,75.7787
26.90765,75.77858
26.90765,75.77858
26.90765,75.77858
26.90752,75.77845
26.90741,75.77834
26.90741,75.77834
26.90728,75.77821
26.90728,75.77821
26.90723,75.77817
26.90723,75.77817
26.90706,75.778
26.90706,75.778
26.90706,75.778
26.90693,75.77789
26.90693,75.77789
26.90663,75.77765
26.90663,75.77765
26.90663,75.77765
26.9065,75.77752
26.9065,75.77752
26.9065,75.77752
26.90628,75.77731
26.90628,75.77731
26.90628,75.77731
26.90612,75.77716
26.90612,75.77716
26.906,75.77705
26.906,75.77705
26.906,75.77705
26.90568,75.7768
26.90568,75.7768
26.90568,75.7768
26.90559,75.77673
26.90559,75.77673
26.90559,75.77673
26.90543,75.7766
26.90529,75.77649
26.90529,75.77649
26.90529,75.77649
26.90499,75.77626
26.90499,75.77626
26.90499,75.77626
26.90479,75.77612
26.90444,75.77588
26.90444,75.77588
26.9042,75.7757
26.9042,75.7757
26.90399,75.77558
26.90338,75.77526
26.90338,75.77526
26.90326,75.77518
26.90326,75.77518
26.9032,75.77513
26.90308,75.77516
26.90308,75.77516
26.90308,75.77516
26.90299,75.77519
26.90299,75.77519
26.90299,75.77519
26.90285,75.77522
26.90278,75.77525
26.90278,75.77525
26.90268,75.77528
26.9026,75.77544
26.90255,75.77554
26.90255,75.77554
26.90249,75.77568
26.90249,75.77568
26.90218,75.77655
26.90218,75.77655
26.90187,75.77743
26.90187,75.77743
26.9021,75.77784
26.90228,75.77816
26.90228,75.77816
26.90252,75.77858
26.90252,75.77858
26.90252,75.77858
26.90305,75.7795
26.90305,75.7795
26.90305,75.7795
26.90311,75.77959
26.90311,75.77959
26.90315,75.77964
26.90315,75.77964
26.90315,75.77964
26.90333,75.77999
26.90333,75.77999
26.90365,75.78054
26.90369,75.78061
26.90369,75.78061
26.90391,75.78099
26.90422,75.78147
26.90447,75.78188
26.90447,75.78188
26.90447,75.78188
26.9045,75.78193
26.90492,75.78264
26.90492,75.78264
26.90526,75.78321
26.90526,75.78321
26.90526,75.78321
26.90596,75.78439
26.90596,75.78439
26.90596,75.78439
26.90597,75.78439
26.90597,75.78439
26.90597,75.78439
26.90598,75.78439
26.90599,75.78439
26.90599,75.78439
26.906,75.78439
26.906,75.7844
26.906,75.7844
26.906,75.7844
26.90601,75.7844
26.90601,75.7844
26.90601,75.7844
26.90602,75.7844
26.90602,75.78441
26.90602,75.78442
26.90602,75.78442
26.90602,75.78442
26.90603,75.78442
26.90603,75.78442
26.90603,75.78443
26.90603,75.78444
26.90603,75.78444
26.90603,75.78444
26.90603,75.78445
26.90603,75.78445
26.90603,75.78446
26.90603,75.78446
26.90603,75.78446
26.90603,75.78447
26.90603,75.78448
26.90603,75.78449
26.90602,75.78449
26.90602,75.78449
26.90602,75.78449
26.90602,75.7845
26.90601,75.7845
26.90601,75.7845
26.90601,75.7845
